TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
COAD,P04637:TP53,159,Q13625:TP53BP2,9,41,41,"{'TCGA-CM-4746', 'TCGA-RU-A8FL', 'TCGA-AA-3679', 'TCGA-CM-6172', 'TCGA-D5-6540', 'TCGA-NH-A8F8', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-A6-A567', 'TCGA-NH-A50V', 'TCGA-F4-6459', 'TCGA-AA-3844', 'TCGA-D5-6931', 'TCGA-CM-6676', 'TCGA-DM-A1D7', 'TCGA-AA-3660', 'TCGA-D5-5541', 'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-AA-3949', 'TCGA-G4-6317', 'TCGA-G4-6315', 'TCGA-D5-6531', 'TCGA-AA-A02K', 'TCGA-CK-5914', 'TCGA-D5-6926', 'TCGA-AM-5821', 'TCGA-D5-6533', 'TCGA-DM-A1D4', 'TCGA-A6-5667', 'TCGA-4N-A93T', 'TCGA-A6-6651', 'TCGA-DM-A1DB', 'TCGA-AY-4070', 'TCGA-AA-3655', 'TCGA-5M-AAT4', 'TCGA-A6-6138', 'TCGA-AY-6196', 'TCGA-F4-6805', 'TCGA-CM-6163', 'TCGA-A6-4105'}",0,set(),0,set(),0.9762
COAD,P04637:TP53,159,Q96KQ4:PPP1R13B,9,41,41,"{'TCGA-CM-4746', 'TCGA-RU-A8FL', 'TCGA-AA-3679', 'TCGA-CM-6172', 'TCGA-D5-6540', 'TCGA-NH-A8F8', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-A6-A567', 'TCGA-NH-A50V', 'TCGA-F4-6459', 'TCGA-AA-3844', 'TCGA-D5-6931', 'TCGA-CM-6676', 'TCGA-DM-A1D7', 'TCGA-AA-3660', 'TCGA-D5-5541', 'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-AA-3949', 'TCGA-G4-6317', 'TCGA-G4-6315', 'TCGA-D5-6531', 'TCGA-AA-A02K', 'TCGA-CK-5914', 'TCGA-D5-6926', 'TCGA-AM-5821', 'TCGA-D5-6533', 'TCGA-DM-A1D4', 'TCGA-A6-5667', 'TCGA-4N-A93T', 'TCGA-A6-6651', 'TCGA-DM-A1DB', 'TCGA-AY-4070', 'TCGA-AA-3655', 'TCGA-5M-AAT4', 'TCGA-A6-6138', 'TCGA-AY-6196', 'TCGA-F4-6805', 'TCGA-CM-6163', 'TCGA-A6-4105'}",0,set(),0,set(),0.9881
COAD,P04637:TP53,159,Q06187:BTK,7,38,38,"{'TCGA-CM-4746', 'TCGA-RU-A8FL', 'TCGA-AA-3679', 'TCGA-CM-6172', 'TCGA-D5-6540', 'TCGA-NH-A8F8', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-A6-A567', 'TCGA-NH-A50V', 'TCGA-F4-6459', 'TCGA-AA-3844', 'TCGA-CM-6676', 'TCGA-DM-A1D7', 'TCGA-AA-3660', 'TCGA-D5-5541', 'TCGA-DM-A1HA', 'TCGA-AA-3949', 'TCGA-G4-6317', 'TCGA-G4-6315', 'TCGA-D5-6531', 'TCGA-AA-A02K', 'TCGA-CK-5914', 'TCGA-D5-6926', 'TCGA-AM-5821', 'TCGA-D5-6533', 'TCGA-DM-A1D4', 'TCGA-A6-5667', 'TCGA-4N-A93T', 'TCGA-A6-6651', 'TCGA-DM-A1DB', 'TCGA-AY-4070', 'TCGA-AA-3655', 'TCGA-5M-AAT4', 'TCGA-A6-6138', 'TCGA-AY-6196', 'TCGA-F4-6805', 'TCGA-CM-6163'}",0,set(),0,set(),0.988
COAD,P04637:TP53,159,P62993:GRB2,2,31,31,"{'TCGA-RU-A8FL', 'TCGA-AA-3679', 'TCGA-AA-3681', 'TCGA-D5-6540', 'TCGA-NH-A8F8', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-A6-A567', 'TCGA-AZ-4616', 'TCGA-AA-3844', 'TCGA-NH-A50V', 'TCGA-CM-6676', 'TCGA-AA-3660', 'TCGA-D5-5541', 'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-AA-3949', 'TCGA-G4-6315', 'TCGA-D5-6531', 'TCGA-AA-A02K', 'TCGA-D5-6926', 'TCGA-AM-5821', 'TCGA-D5-6533', 'TCGA-4N-A93T', 'TCGA-AY-4070', 'TCGA-AA-3655', 'TCGA-5M-AAT4', 'TCGA-A6-6138', 'TCGA-AY-6196', 'TCGA-F4-6805', 'TCGA-CM-6163'}",0,set(),0,set(),1.0
COAD,P04637:TP53,159,Q8WUF5:PPP1R13L,6,29,29,"{'TCGA-RU-A8FL', 'TCGA-AA-3679', 'TCGA-D5-6540', 'TCGA-NH-A8F8', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-A6-A567', 'TCGA-AA-3844', 'TCGA-NH-A50V', 'TCGA-D5-6931', 'TCGA-CM-6676', 'TCGA-AA-3660', 'TCGA-D5-5541', 'TCGA-DM-A1HA', 'TCGA-AA-3949', 'TCGA-G4-6315', 'TCGA-D5-6531', 'TCGA-AA-A02K', 'TCGA-D5-6926', 'TCGA-AM-5821', 'TCGA-D5-6533', 'TCGA-4N-A93T', 'TCGA-AY-4070', 'TCGA-AA-3655', 'TCGA-5M-AAT4', 'TCGA-A6-6138', 'TCGA-AY-6196', 'TCGA-F4-6805', 'TCGA-CM-6163'}",0,set(),0,set(),1.0
COAD,P04637:TP53,159,P07948:LYN,11,20,20,"{'TCGA-CM-4746', 'TCGA-AA-3679', 'TCGA-CM-6172', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-F4-6459', 'TCGA-D5-6931', 'TCGA-CM-6676', 'TCGA-DM-A1D7', 'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-G4-6317', 'TCGA-G4-6315', 'TCGA-CK-5914', 'TCGA-D5-6533', 'TCGA-DM-A1D4', 'TCGA-A6-5667', 'TCGA-A6-6651', 'TCGA-DM-A1DB', 'TCGA-F4-6805'}",0,set(),0,set(),0.9824
COAD,P04637:TP53,159,Q9H3D4:TP63,8,13,13,"{'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-D5-6931', 'TCGA-G4-6315', 'TCGA-AA-3679', 'TCGA-CM-6676', 'TCGA-D5-6932', 'TCGA-D5-6533', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-F4-6805', 'TCGA-AA-3975', 'TCGA-A6-4105'}",1,{'TCGA-CM-6162'},0,set(),0.988
COAD,P04637:TP53,159,H2EHT1:TP53,0,11,11,"{'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-D5-6931', 'TCGA-G4-6315', 'TCGA-AA-3679', 'TCGA-CM-6676', 'TCGA-D5-6533', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-F4-6805', 'TCGA-A6-4105'}",0,set(),0,set(),1.0
COAD,P04637:TP53,159,K7PPA8:TP53,0,10,10,"{'TCGA-DM-A1HA', 'TCGA-CM-4750', 'TCGA-G4-6315', 'TCGA-AA-3679', 'TCGA-CM-6676', 'TCGA-D5-6533', 'TCGA-AA-3979', 'TCGA-A6-3810', 'TCGA-F4-6805', 'TCGA-A6-4105'}",0,set(),0,set(),1.0
COAD,P04637:TP53,159,O15350:TP73,6,6,6,"{'TCGA-AA-3662', 'TCGA-AZ-4614', 'TCGA-A6-2682', 'TCGA-AA-3681', 'TCGA-SS-A7HO', 'TCGA-A6-4105'}",0,set(),0,set(),0.9879
