TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
BRCA,P04637:TP53,204,Q13625:TP53BP2,8,41,41,"{'TCGA-C8-A12O', 'TCGA-A2-A0T1', 'TCGA-AN-A0FX', 'TCGA-D8-A1JF', 'TCGA-BH-A1FN', 'TCGA-BH-A1FE', 'TCGA-A7-A6VW', 'TCGA-AR-A2LH', 'TCGA-EW-A1P1', 'TCGA-B6-A0WX', 'TCGA-A2-A4S1', 'TCGA-D8-A1XL', 'TCGA-C8-A134', 'TCGA-C8-A26W', 'TCGA-E9-A1NC', 'TCGA-BH-A5IZ', 'TCGA-BH-A0BC', 'TCGA-AR-A24T', 'TCGA-OL-A5RY', 'TCGA-B6-A0RS', 'TCGA-BH-A0WA', 'TCGA-D8-A1JM', 'TCGA-EW-A6S9', 'TCGA-C8-A278', 'TCGA-B6-A0I1', 'TCGA-AR-A0TP', 'TCGA-BH-A203', 'TCGA-AR-A1AJ', 'TCGA-C8-A1HF', 'TCGA-BH-A0AV', 'TCGA-A2-A0CL', 'TCGA-AR-A1AW', 'TCGA-A2-A0SW', 'TCGA-A8-A09X', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-E2-A574', 'TCGA-EW-A1P4', 'TCGA-LL-A8F5', 'TCGA-LL-A6FR', 'TCGA-C8-A12P'}",0,set(),0,set(),0.9953
BRCA,P04637:TP53,204,Q96KQ4:PPP1R13B,5,41,41,"{'TCGA-C8-A12O', 'TCGA-A2-A0T1', 'TCGA-AN-A0FX', 'TCGA-D8-A1JF', 'TCGA-BH-A1FN', 'TCGA-BH-A1FE', 'TCGA-A7-A6VW', 'TCGA-AR-A2LH', 'TCGA-EW-A1P1', 'TCGA-B6-A0WX', 'TCGA-A2-A4S1', 'TCGA-D8-A1XL', 'TCGA-C8-A134', 'TCGA-C8-A26W', 'TCGA-E9-A1NC', 'TCGA-BH-A5IZ', 'TCGA-BH-A0BC', 'TCGA-AR-A24T', 'TCGA-OL-A5RY', 'TCGA-B6-A0RS', 'TCGA-BH-A0WA', 'TCGA-D8-A1JM', 'TCGA-EW-A6S9', 'TCGA-C8-A278', 'TCGA-B6-A0I1', 'TCGA-AR-A0TP', 'TCGA-BH-A203', 'TCGA-OL-A5D6', 'TCGA-AR-A1AJ', 'TCGA-C8-A1HF', 'TCGA-BH-A0AV', 'TCGA-A2-A0CL', 'TCGA-AR-A1AW', 'TCGA-A2-A0SW', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-E2-A574', 'TCGA-EW-A1P4', 'TCGA-LL-A8F5', 'TCGA-LL-A6FR', 'TCGA-C8-A12P'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,Q06187:BTK,7,33,33,"{'TCGA-C8-A12O', 'TCGA-A2-A0T1', 'TCGA-AN-A0FX', 'TCGA-BH-A1FN', 'TCGA-BH-A1FE', 'TCGA-AR-A2LH', 'TCGA-EW-A1P1', 'TCGA-B6-A0WX', 'TCGA-A2-A4S1', 'TCGA-D8-A1XL', 'TCGA-C8-A134', 'TCGA-C8-A26W', 'TCGA-E9-A1NC', 'TCGA-BH-A5IZ', 'TCGA-BH-A0BC', 'TCGA-AR-A24T', 'TCGA-B6-A0RS', 'TCGA-BH-A0WA', 'TCGA-D8-A1JM', 'TCGA-C8-A278', 'TCGA-B6-A0I1', 'TCGA-AR-A0TP', 'TCGA-BH-A203', 'TCGA-OL-A5D6', 'TCGA-AR-A1AJ', 'TCGA-BH-A0AV', 'TCGA-A2-A0CL', 'TCGA-AR-A1AW', 'TCGA-A2-A0SW', 'TCGA-E2-A574', 'TCGA-LL-A8F5', 'TCGA-LL-A6FR', 'TCGA-C8-A12P'}",0,set(),0,set(),0.9953
BRCA,P04637:TP53,204,P62993:GRB2,2,32,32,"{'TCGA-C8-A12O', 'TCGA-A2-A0T1', 'TCGA-AN-A0FX', 'TCGA-BH-A1FN', 'TCGA-BH-A1FE', 'TCGA-AR-A2LH', 'TCGA-EW-A1P1', 'TCGA-B6-A0WX', 'TCGA-A2-A4S1', 'TCGA-D8-A1XL', 'TCGA-C8-A134', 'TCGA-C8-A26W', 'TCGA-E9-A1NC', 'TCGA-BH-A5IZ', 'TCGA-BH-A0BC', 'TCGA-AR-A24T', 'TCGA-B6-A0RS', 'TCGA-BH-A0WA', 'TCGA-D8-A1JM', 'TCGA-C8-A278', 'TCGA-AR-A0TP', 'TCGA-BH-A203', 'TCGA-OL-A5D6', 'TCGA-AR-A1AJ', 'TCGA-A2-A0CL', 'TCGA-AR-A1AW', 'TCGA-A2-A0SW', 'TCGA-A8-A09X', 'TCGA-LL-A8F5', 'TCGA-LL-A6FR', 'TCGA-A7-A6VX', 'TCGA-C8-A12P'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,Q8WUF5:PPP1R13L,2,29,29,"{'TCGA-C8-A12O', 'TCGA-A2-A0T1', 'TCGA-AN-A0FX', 'TCGA-BH-A1FN', 'TCGA-BH-A1FE', 'TCGA-AR-A2LH', 'TCGA-EW-A1P1', 'TCGA-B6-A0WX', 'TCGA-A2-A4S1', 'TCGA-D8-A1XL', 'TCGA-C8-A26W', 'TCGA-C8-A134', 'TCGA-E9-A1NC', 'TCGA-BH-A5IZ', 'TCGA-BH-A0BC', 'TCGA-AR-A24T', 'TCGA-B6-A0RS', 'TCGA-BH-A0WA', 'TCGA-D8-A1JM', 'TCGA-C8-A278', 'TCGA-AR-A0TP', 'TCGA-BH-A203', 'TCGA-AR-A1AJ', 'TCGA-A2-A0CL', 'TCGA-AR-A1AW', 'TCGA-A2-A0SW', 'TCGA-LL-A8F5', 'TCGA-LL-A6FR', 'TCGA-C8-A12P'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,Q9H3D4:TP63,2,18,18,"{'TCGA-UU-A93S', 'TCGA-D8-A1XL', 'TCGA-OL-A5RY', 'TCGA-AN-A0FX', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-D8-A1JF', 'TCGA-BH-A0WA', 'TCGA-EW-A1P4', 'TCGA-EW-A6S9', 'TCGA-BH-A0BC', 'TCGA-A7-A6VW', 'TCGA-D8-A1XT', 'TCGA-OL-A5D6', 'TCGA-B6-A0WX', 'TCGA-C8-A1HF', 'TCGA-PL-A8LV', 'TCGA-C8-A12P'}",0,set(),0,set(),0.9951
BRCA,P04637:TP53,204,H2EHT1:TP53,0,16,16,"{'TCGA-OL-A5RY', 'TCGA-AN-A0FX', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-D8-A1JF', 'TCGA-BH-A0WA', 'TCGA-EW-A1P4', 'TCGA-EW-A6S9', 'TCGA-BH-A0BC', 'TCGA-A7-A6VW', 'TCGA-D8-A1XT', 'TCGA-OL-A5D6', 'TCGA-B6-A0WX', 'TCGA-C8-A1HF', 'TCGA-D8-A1XL', 'TCGA-C8-A12P'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,K7PPA8:TP53,0,16,16,"{'TCGA-OL-A5RY', 'TCGA-AN-A0FX', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-D8-A1JF', 'TCGA-BH-A0WA', 'TCGA-EW-A1P4', 'TCGA-EW-A6S9', 'TCGA-BH-A0BC', 'TCGA-A7-A6VW', 'TCGA-D8-A1XT', 'TCGA-OL-A5D6', 'TCGA-B6-A0WX', 'TCGA-C8-A1HF', 'TCGA-D8-A1XL', 'TCGA-C8-A12P'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,Q96KQ7:EHMT2,2,14,14,"{'TCGA-OL-A5RY', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-D8-A1JF', 'TCGA-D8-A147', 'TCGA-EW-A1P4', 'TCGA-A7-A26F', 'TCGA-EW-A6S9', 'TCGA-BH-A0EB', 'TCGA-A7-A6VW', 'TCGA-OL-A5D6', 'TCGA-AR-A0U2', 'TCGA-C8-A1HF', 'TCGA-A8-A08X'}",0,set(),0,set(),1.0
BRCA,P04637:TP53,204,O15350:TP73,3,13,13,"{'TCGA-OL-A5RY', 'TCGA-AN-A04C', 'TCGA-A8-A07W', 'TCGA-D8-A1JF', 'TCGA-D8-A147', 'TCGA-EW-A1P4', 'TCGA-A7-A26F', 'TCGA-EW-A6S9', 'TCGA-BH-A0EB', 'TCGA-A7-A6VW', 'TCGA-AR-A0U2', 'TCGA-C8-A1HF', 'TCGA-A8-A08X'}",0,set(),0,set(),1.0
