TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
BRCA,P68431:H3C1,29,Q9UER7:DAXX,4,8,7,"{'TCGA-A2-A0EQ', 'TCGA-AN-A03Y', 'TCGA-BH-A42U', 'TCGA-AR-A0TX', 'TCGA-E9-A226', 'TCGA-AC-A23H', 'TCGA-OL-A5DA'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,P62805:H4C1,18,7,6,"{'TCGA-A2-A0EQ', 'TCGA-5L-AAT1', 'TCGA-E9-A226', 'TCGA-AC-A62X', 'TCGA-3C-AALI', 'TCGA-A8-A09I'}",8,"{'TCGA-A2-A0YM', 'TCGA-LL-A73Y', 'TCGA-D8-A1JA', 'TCGA-BH-A0H7', 'TCGA-BH-A1F0', 'TCGA-AR-A0TY', 'TCGA-AN-A0AT', 'TCGA-A8-A06Y'}",0,set(),0.9787
BRCA,P68431:H3C1,29,P04908:H2AC4,14,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set(),0.9767
BRCA,P68431:H3C1,29,P16104:H2AX,0,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,P0C0S8:H2AC11,13,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",2,"{'TCGA-A2-A25E', 'TCGA-A8-A09Z'}",0,set(),0.9762
BRCA,P68431:H3C1,29,O75367:MACROH2A1,1,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,P0C0S5:H2AZ1,3,4,4,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-A2-A0SX', 'TCGA-3C-AALI'}",0,set(),0,set(),0.9688
BRCA,P68431:H3C1,29,Q16777:H2AC20,1,3,3,"{'TCGA-A2-A0EQ', 'TCGA-E9-A226', 'TCGA-3C-AALI'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,Q9Y294:ASF1A,1,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,Q9NVP2:ASF1B,1,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set(),1.0
BRCA,P68431:H3C1,29,P49450:CENPA,0,3,3,"{'TCGA-AC-A23H', 'TCGA-OL-A5DA', 'TCGA-BH-A42U'}",0,set(),0,set(),1.0
