TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
COAD,O00238:BMPR1B,12,Q13153:PAK1,6,2,2,"{'TCGA-AA-3833', 'TCGA-AA-3984'}",0,set(),0,set(),0.8889
COAD,O00238:BMPR1B,12,P37173:TGFBR2,11,1,1,{'TCGA-G4-6320'},2,"{'TCGA-AA-A03F', 'TCGA-AD-6964'}",0,set(),0.9565
COAD,O00238:BMPR1B,12,Q13873:BMPR2,17,1,1,{'TCGA-AD-5900'},0,set(),0,set(),0.8621
COAD,O00238:BMPR1B,12,P22004:BMP6,3,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.9333
COAD,O00238:BMPR1B,12,P18075:BMP7,11,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.913
COAD,O00238:BMPR1B,12,P43026:GDF5,8,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.9
COAD,O00238:BMPR1B,12,O60383:GDF9,6,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.9444
COAD,O00238:BMPR1B,12,O95972:BMP15,5,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.9412
COAD,O00238:BMPR1B,12,P12643:BMP2,7,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.9474
COAD,O00238:BMPR1B,12,P12644:BMP4,6,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),0.8889
COAD,O00238:BMPR1B,12,Q6KF10:GDF6,11,1,1,{'TCGA-DM-A1HA'},1,{'TCGA-CK-4951'},0,set(),1.0
COAD,O00238:BMPR1B,12,C8C060:BMP2,0,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),1.0
COAD,O00238:BMPR1B,12,F1T0J1:GDF5,0,1,1,{'TCGA-DM-A1HA'},0,set(),0,set(),1.0
COAD,O00238:BMPR1B,12,P36894:BMPR1A,6,1,1,{'TCGA-AA-A00N'},0,set(),0,set(),0.9444
