TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
COAD,P61244:MAX,7,Q05195:MXD1,2,4,4,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AD-6895', 'TCGA-AZ-5407'}",1,{'TCGA-A6-5661'},0,set(),1.0
COAD,P61244:MAX,7,P22415:USF1,1,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set(),1.0
COAD,P61244:MAX,7,Q14582:MXD4,3,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set(),1.0
COAD,P61244:MAX,7,P01106:MYC,7,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set(),1.0
COAD,P61244:MAX,7,B9EGR5:MGA,0,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set(),1.0
COAD,P61244:MAX,7,Q8TAX8:MAX,0,3,3,"{'TCGA-F4-6461', 'TCGA-CA-6717', 'TCGA-AZ-5407'}",0,set(),0,set(),1.0
COAD,P61244:MAX,7,Q9BW11:MXD3,2,1,1,{'TCGA-CA-6717'},0,set(),0,set(),0.8889
COAD,P61244:MAX,7,Q8IWI9:MGA,19,1,1,{'TCGA-CA-6717'},0,set(),0,set(),0.8846
COAD,P61244:MAX,7,P04198:MYCN,7,1,1,{'TCGA-CA-6717'},0,set(),0,set(),1.0
COAD,P61244:MAX,7,Q99583:MNT,4,1,1,{'TCGA-CA-6717'},0,set(),0,set(),1.0
COAD,P61244:MAX,7,P50539:MXI1,4,1,1,{'TCGA-CA-6717'},0,set(),0,set(),0.9091
COAD,P61244:MAX,7,B7ZLI7:MXD1,0,1,1,{'TCGA-CA-6717'},0,set(),0,set(),1.0
