TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
COAD,P61586:RHOA,5,Q96N67:DOCK7,15,5,5,"{'TCGA-AA-A01P', 'TCGA-AA-A01R', 'TCGA-AA-3845', 'TCGA-AD-6895', 'TCGA-F4-6856'}",0,set(),0,set(),0.95
COAD,P61586:RHOA,5,P15498:VAV1,13,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",1,{'TCGA-AA-3950'},0,set(),0.9444
COAD,P61586:RHOA,5,Q86VW2:ARHGEF25,11,4,4,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895', 'TCGA-AA-A01R'}",1,{'TCGA-AA-3715'},0,set(),0.9375
COAD,P61586:RHOA,5,O75962:TRIO,23,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,P52565:ARHGDIA,3,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,O15068:MCF2L,13,4,4,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q07960:ARHGAP1,1,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9H7P9:PLEKHG2,14,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),0.9474
COAD,P61586:RHOA,5,O60610:DIAPH1,0,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q13464:ROCK1,13,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q13017:ARHGAP5,10,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q5T5U3:ARHGAP21,20,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,P85298:ARHGAP8,0,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9Y3L3:SH3BP1,6,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),0.9091
COAD,P61586:RHOA,5,O43157:PLXNB1,22,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),0.9259
COAD,P61586:RHOA,5,Q9NR81:ARHGEF3,10,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q99819:ARHGDIG,1,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,P52566:ARHGDIB,7,3,3,"{'TCGA-AA-A01P', 'TCGA-AA-3845', 'TCGA-AD-6895'}",1,{'TCGA-AA-3679'},0,set(),1.0
COAD,P61586:RHOA,5,Q9NSV4:DIAPH3,11,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,P10911:MCF2,18,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,P11274:BCR,12,3,3,"{'TCGA-AA-A01P', 'TCGA-F4-6856', 'TCGA-AD-6895'}",1,{'TCGA-D5-6530'},0,set(),0.9412
COAD,P61586:RHOA,5,O60890:OPHN1,3,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9UKW4:VAV3,13,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),0.9444
COAD,P61586:RHOA,5,Q7Z628:NET1,6,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9NZN5:ARHGEF12,10,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9Y4D1:DAAM1,13,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,A7KAX9:ARHGAP32,14,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9UNA1:ARHGAP26,4,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q13972:RASGRF1,19,2,2,"{'TCGA-AA-A01P', 'TCGA-AD-6895'}",0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q12774:ARHGEF5,10,1,1,{'TCGA-F4-6856'},0,set(),0,set(),0.8667
COAD,P61586:RHOA,5,O43924:PDE6D,2,1,1,{'TCGA-AA-A01R'},0,set(),0,set(),1.0
COAD,P61586:RHOA,5,Q9NR80:ARHGEF4,9,1,1,{'TCGA-AA-A01R'},0,set(),0,set(),1.0
