TCGA,PROTEIN:GENE,NUM_PATIENTS,INTERACTOR,NUM_PATIENTS_INTERACTOR,DISRUPTIVE_INTERACTOR_COUNT,#_PATIENTS_A_DISR_B,PATIENTS_A_DISR_B,#_PATIENTS_B_DISR_A,PATIENTS_B_DISR_A,#_PATIENTS_INTERSECTION,PATIENTS_INTERSECTION,MUTUAL_EXCLUSIVITY
HNSC,P61586:RHOA,8,O60610:DIAPH1,0,4,4,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998', 'TCGA-F7-A624'}",0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,O43157:PLXNB1,5,4,4,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998', 'TCGA-F7-A624'}",0,set(),0,set(),0.9231
HNSC,P61586:RHOA,8,Q86VW2:ARHGEF25,2,3,3,"{'TCGA-CV-7410', 'TCGA-CV-7102', 'TCGA-CN-6998'}",0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,Q16513:PKN2,4,2,2,"{'TCGA-TN-A7HL', 'TCGA-KU-A66S'}",0,set(),0,set(),0.9167
HNSC,P61586:RHOA,8,O14578:CIT,11,1,1,{'TCGA-TN-A7HL'},0,set(),0,set(),0.9474
HNSC,P61586:RHOA,8,Q96N67:DOCK7,10,1,1,{'TCGA-KU-A66S'},0,set(),0,set(),0.9444
HNSC,P61586:RHOA,8,Q07960:ARHGAP1,4,1,1,{'TCGA-BB-8596'},1,{'TCGA-CN-6021'},0,set(),0.9167
HNSC,P61586:RHOA,8,Q5S007:LRRK2,22,1,1,{'TCGA-F7-A624'},0,set(),0,set(),0.9667
HNSC,P61586:RHOA,8,Q7Z628:NET1,2,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,O15068:MCF2L,3,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,Q99819:ARHGDIG,0,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,P52566:ARHGDIB,1,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,P52565:ARHGDIA,1,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,Q9NSV4:DIAPH3,8,1,1,{'TCGA-F7-A624'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,Q9Y4D1:DAAM1,7,1,1,{'TCGA-F7-A624'},0,set(),0,set(),0.9333
HNSC,P61586:RHOA,8,P17612:PRKACA,4,1,1,{'TCGA-TN-A7HL'},0,set(),0,set(),1.0
HNSC,P61586:RHOA,8,O75962:TRIO,11,1,1,{'TCGA-TN-A7HL'},1,{'TCGA-D6-A6ES'},0,set(),0.9474
HNSC,P61586:RHOA,8,Q16512:PKN1,6,1,1,{'TCGA-KU-A66S'},0,set(),0,set(),0.9286
